step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
227,0.48249,0.86765,,
228,0.44386,0.83871,,
229,0.37632,0.92771,,
230,0.25408,0.93151,,
231,0.22424,0.94048,,
232,0.48385,0.86,,
233,0.15295,0.95349,,
234,0.42636,0.82759,,
235,0.75291,0.83019,,
236,0.28646,0.90741,,
237,0.14206,0.95,,
238,0.6063,0.82857,,
239,0.50035,0.86736,,
240,0.36359,0.88991,,
241,0.23027,0.93713,,
242,0.38227,0.90323,,
243,0.29327,0.9375,,
244,0.20718,0.92,,
245,0.42992,0.90769,,
246,0.23161,0.92857,,
247,0.76268,0.84091,,
248,0.31023,0.91546,,
249,0.35828,0.90196,,
250,0.41687,0.87838,,
251,0.07652,0.97059,,
252,1.04184,0.81429,,
253,0.19113,0.97561,,
254,0.3946,0.89583,,
255,1.03606,0.77273,,
256,0.3954,0.89922,,
257,1.07676,0.81176,,
258,0.24192,0.92857,,
259,0.3107,0.9,,
260,1.39697,0.71111,,
261,0.74846,0.84286,,
262,0.21461,0.93832,,
263,0.24936,0.96,,
264,0.18211,0.97059,,
265,0.21113,0.97561,,
266,0.42488,0.87671,,
267,0.18187,0.93171,,
268,0.16622,0.93333,,
269,0.6297,0.81609,,
270,0.98062,0.80556,,
271,0.27069,0.89888,,
272,0.28002,0.95714,,
273,0.17239,0.94366,,
274,0.51829,0.86364,,
275,0.57798,0.87097,,
276,0.30072,0.91176,,
277,0.22061,0.94937,,
278,0.48072,0.89116,,
279,0.04025,0.98718,,
280,0.38235,0.88235,,
281,0.27252,0.8951,,
282,0.24304,0.94595,,
283,0.44796,0.83824,,
284,0.23195,0.93333,,
285,0.50613,0.88,,
286,0.30038,0.91139,,
287,0.19479,0.92754,,
288,0.10502,0.97368,,
289,0.33916,0.91597,,
290,0.31806,0.91,,
291,0.41229,0.8642,,
292,0.72889,0.79245,,
293,0.28057,0.93407,,
294,1.07404,0.77647,,
295,1.23775,0.76744,,
296,0.11279,0.97727,,
297,0.92672,0.80488,,
298,0.25324,0.88235,,
299,0.18919,0.95388,,
300,0.32578,0.91621,0.65577,0.83065
301,0.31345,0.90196,,
302,0.40844,0.87838,,
303,0.14759,0.95775,,
304,0.23035,0.96226,,
305,0.39389,0.90769,,
306,0.2346,0.93056,,
307,0.29706,0.94231,,
308,0.41112,0.89524,,
309,0.14564,0.96341,,
310,0.46898,0.86517,,
311,0.16127,0.94898,,
312,0.14696,0.94615,,
313,0.42681,0.90719,,
314,0.31843,0.93182,,
315,0.53485,0.9,,
316,0.80852,0.8,,
317,0.25631,0.95775,,
318,0.37644,0.89844,,
319,0.18094,0.925,,
320,0.2098,0.9697,,
321,0.21922,0.9359,,
322,0.25346,0.95181,,
323,0.31666,0.9084,,
324,0.2756,0.9,,
325,0.02179,1.0,,
326,0.26494,0.91964,,
327,0.18294,0.93478,,
328,0.2073,0.94444,,
329,0.19954,0.9375,,
330,0.09211,0.96709,,
331,0.32732,0.96154,,
332,0.15183,0.97561,,
333,0.1601,0.94574,,
334,0.23651,0.93651,,
335,0.21747,0.93333,,
336,0.07225,1.0,,
337,0.21885,0.93056,,
338,0.14148,0.96907,,
339,0.05799,0.98413,,
340,0.16798,0.94,,
341,0.3597,0.88095,,
342,0.26445,0.92,,
343,0.09934,0.97727,,
344,0.45441,0.90278,,
345,0.14069,0.93548,,
346,0.07969,0.97826,,
347,0.03095,0.98462,,
348,0.18447,0.93814,,
349,0.10921,0.98113,,
350,0.28773,0.91935,,
351,0.29401,0.93103,,
352,0.26431,0.95833,,
353,0.15047,0.94444,,
354,0.32762,0.9102,,
355,0.10867,0.95146,,
356,0.25948,0.9375,,
357,0.26741,0.92763,,
358,0.06513,0.98305,,
359,0.13895,0.95294,,
360,0.10309,0.97222,,
361,0.06218,0.98413,,
362,0.10494,0.98571,,
363,0.02004,1.0,,
364,0.07954,0.98876,,
365,0.09487,0.95349,,
366,0.01309,1.0,,
367,0.20782,0.94643,,
368,0.24361,0.93827,,
369,0.05246,0.98182,,
370,0.69675,0.87324,,
371,0.29747,0.9697,,
372,0.09538,0.97701,,
373,0.41489,0.95385,,
374,0.10386,0.97619,,
375,0.10766,0.95,,
376,0.1966,0.94444,,
377,0.17105,0.96296,,
378,0.26463,0.92373,,
379,0.19332,0.97701,,
380,0.23684,0.93162,,
381,0.15887,0.97403,,
382,0.16047,0.95238,,
383,0.3354,0.89231,,
384,0.25916,0.96078,,
385,0.12946,0.96557,,
386,0.14143,0.94667,,
387,0.38654,0.89474,,
388,0.18967,0.96,,
389,0.14846,0.95652,,
390,0.28685,0.91379,,
391,0.13914,0.96739,,
392,0.15226,0.97368,,
393,0.24158,0.95918,,
394,0.14142,0.96341,,
395,0.17384,0.95714,,
396,0.1803,0.93103,,
397,0.14183,0.95181,,
398,0.27224,0.90698,,
399,0.02264,1.0,,
400,0.05708,0.98571,0.08404,0.96429
401,0.15254,0.95489,,
402,0.50225,0.88636,,
403,0.14232,0.95833,,
404,0.23172,0.93548,,
405,0.10223,0.96512,,
406,0.12164,0.95385,,
407,0.03378,1.0,,
408,0.08892,0.97143,,
